game,team,coach,F(lbj/kd),F(love/green),C(TT/Bell),G(JR/curry),G(hill/KT),o1,o2,o3,o4,o5,o6,o7,o8,o9,score,result,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,292,0,10,16,16,155,72,7,3,3,2,0,0,0,0,0,106,0,,,,,,,,,,,,,,
11,338,0,24,43,10,80,69,23,56,3,2,0,0,0,4,4,127,1,,,,,,,,,,,,,,
12,429,0,4,10,7,62,47,24,9,4,0,0,0,0,0,0,85,0,,,,,,,,,,,,,,
13,352,0,2,3,25,112,51,15,0,2,0,0,0,0,0,0,95,1,,,,,,,,,,,,,,
14,443,0,3,6,12,76,60,11,0,3,0,0,0,0,0,0,98,1,,,,,,,,,,,,,,
15,379,0,16,18,2,156,44,36,3,3,0,0,0,0,0,8,86,0,,,,,,,,,,,,,,
16,315,0,16,4,20,124,79,14,0,2,0,0,0,0,0,1,92,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game,team,coach,F_C1,F_C2,C_C,G_C1,G_C2,o1,o2,o3,o4,o5,o6,o7,o8,o9,F_C1B,F_C2B,C_CB,G_C1B,G_C2B,o1B,o2B,o3B,o4B,o5B,o6B,o7B,o8B,o9B,score,result
10,269,0,5,14,16,146,61,7,1,2,0,0,0,0,0,0,23,0,5,2,0,11,11,0,2,0,0,0,0,0,106,0
11,313,0,18,43,10,77,59,23,45,2,1,0,0,0,3,16,25,0,6,0,0,5,10,0,11,1,1,0,0,1,127,1
12,345,0,4,9,7,58,39,19,5,4,0,0,0,0,0,0,84,0,0,1,0,8,8,5,4,0,0,0,0,0,85,0
13,312,0,2,3,20,102,38,11,0,2,0,0,0,0,0,0,40,0,0,0,5,12,13,4,0,0,0,0,0,0,95,1
14,398,0,3,6,10,72,58,10,0,5,0,0,0,0,0,0,45,0,0,0,2,6,2,1,0,0,0,0,0,0,98,1
15,342,0,15,17,2,150,41,35,3,3,0,0,0,0,0,4,37,0,1,1,0,20,3,1,0,0,0,0,0,4,86,0
16,283,0,11,4,20,117,78,14,0,1,0,0,0,0,0,1,32,0,5,0,0,9,1,0,0,1,0,0,0,0,92,0
