game,team,coach,F(lbj/kd),F(love/green),C(TT/Bell),G(JR/curry),G(hill/KT),o1,o2,o3,o4,o5,o6,o7,o8,o9,score,result,,,,,,,,,,,,,,
0,112,11,60,93,0,17,42,15,13,15,5,0,1,58,6,4,113,1,,,,,,,,,,,,,,
1,113,4,78,61,1,27,87,60,5,8,3,0,3,8,8,15,116,1,,,,,,,,,,,,,,
2,80,1,33,14,2,13,26,6,10,4,13,0,2,4,2,13,110,1,,,,,,,,,,,,,,
3,79,0,28,12,0,7,15,4,1,0,1,0,4,1,0,1,90,0,,,,,,,,,,,,,,
4,150,11,146,48,1,48,77,3,16,2,11,0,0,3,1,5,99,1,,,,,,,,,,,,,,
5,178,8,98,30,1,51,56,8,10,32,8,0,0,6,0,13,123,1,,,,,,,,,,,,,,
6,150,10,86,31,0,200,133,8,0,2,16,0,0,2,0,1,121,1,,,,,,,,,,,,,,
7,207,6,34,49,0,54,80,4,0,3,1,0,0,4,0,61,100,0,,,,,,,,,,,,,,
8,88,8,84,38,0,45,17,22,8,0,4,0,2,3,3,10,118,1,,,,,,,,,,,,,,
9,142,0,54,55,0,62,70,7,9,0,2,0,0,0,0,31,113,1,,,,,,,,,,,,,,
10,239,1,99,91,0,76,18,7,25,9,0,0,0,0,0,20,119,1,,,,,,,,,,,,,,
11,228,6,104,35,0,73,22,4,7,6,12,0,0,0,0,67,105,0,,,,,,,,,,,,,,
12,196,2,62,15,5,154,10,3,9,4,2,0,1,2,3,0,126,1,,,,,,,,,,,,,,
13,158,20,45,39,7,68,25,13,4,3,14,0,0,0,0,1,92,0,,,,,,,,,,,,,,
14,295,10,154,60,1,87,34,11,2,0,0,0,0,2,1,1,94,0,,,,,,,,,,,,,,
15,276,10,138,25,4,44,71,8,6,10,0,2,0,5,0,17,115,1,,,,,,,,,,,,,,
16,172,3,87,32,3,33,90,3,1,8,2,0,0,2,0,2,101,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
game,team,coach,F_C1,F_C2,C_C,G_C1,G_C2,o1,o2,o3,o4,o5,o6,o7,o8,o9,F_C1B,F_C2B,C_CB,G_C1B,G_C2B,o1B,o2B,o3B,o4B,o5B,o6B,o7B,o8B,o9B,score,result
10,175,0,96,69,0,69,18,7,21,7,0,0,0,0,0,17,64,1,4,22,0,7,0,0,4,2,0,0,0,0,119,1
11,195,6,96,29,0,71,19,4,7,4,12,0,0,0,0,62,33,0,9,6,0,2,3,0,0,2,0,0,0,0,105,0
12,144,2,58,13,5,145,9,3,7,3,2,0,1,2,3,0,52,0,4,2,0,9,1,0,2,1,0,0,0,0,126,1
13,138,19,46,32,7,62,24,11,4,1,10,0,0,0,0,1,20,1,4,7,0,6,1,2,0,2,4,0,0,0,92,0
14,249,8,142,49,1,81,22,11,2,0,0,0,0,2,1,1,46,2,14,11,0,6,12,0,0,0,0,0,0,0,94,0
15,233,10,119,19,4,39,67,8,5,10,0,5,0,5,0,18,43,0,22,0,6,0,5,4,0,1,0,0,0,0,115,1
16,138,3,84,27,3,25,74,3,1,8,2,0,0,2,0,2,34,0,12,5,0,8,16,0,0,0,0,0,0,0,101,1
